source,study_id,source_profile,dataset,model_family,source_model,defense_profile,target_model,suite,paper_visible_retention_row,n,eligible_total,baseline_success_total,candidate_success_total,baseline_asr_mean,candidate_asr_mean,zero_baseline_seed_count,low_baseline_seed_count,baseline_seed_asr_values,per_seed_asr_retention_mean,aggregate_asr_retention,retention_metric_gap,baseline_viability_pass,baseline_viability_reason,metric_correction_applied,metric_correction_source,raw_candidate_asr_mean,raw_per_seed_asr_retention_mean,raw_aggregate_asr_retention,raw_retention_metric_gap
reviewer_cifar10/analysis/all_results.csv,reviewer_cifar10,cifar10_resnet18,cifar10,cnn,cifar10_resnet18,standard,cifar10_resnet18,static_q90,True,5,125,16,15,0.128,0.12,0,0,0.12;0.12;0.12;0.16;0.12,0.95,0.9375,0.0124999999999999,True,pass,False,,0.12,0.95,0.9375,0.0124999999999999
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,dynamic_uniform,True,5,580,50,46,0.0862068965517241,0.0793103448275862,0,0,0.0948275862069;0.0862068965517;0.0948275862069;0.0862068965517;0.0689655172414,0.9322727272727274,0.9200000000000002,0.0122727272727272,True,pass,False,,0.0793103448275862,0.9322727272727274,0.9200000000000002,0.0122727272727272
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q70,True,5,580,50,50,0.0862068965517241,0.0862068965517241,0,0,0.0862068965517;0.0862068965517;0.0775862068966;0.0948275862069;0.0862068965517,1.004040404040404,1.0,0.004040404040404,True,pass,False,,0.0862068965517241,1.004040404040404,1.0,0.004040404040404
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q80,True,5,580,47,50,0.0810344827586206,0.0862068965517241,0,0,0.0775862068966;0.0862068965517;0.0775862068966;0.0862068965517;0.0775862068966,1.0666666666666669,1.0638297872340423,0.0028368794326241,True,pass,False,,0.0862068965517241,1.0666666666666669,1.0638297872340423,0.0028368794326241
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Engstrom2019Robustness,static_q90,True,5,580,45,47,0.0775862068965517,0.0810344827586206,0,0,0.0775862068966;0.0689655172414;0.0775862068966;0.0862068965517;0.0775862068966,1.047222222222222,1.0444444444444445,0.0027777777777777,True,pass,False,,0.0810344827586206,1.047222222222222,1.0444444444444445,0.0027777777777777
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,dynamic_uniform,True,5,555,53,48,0.0954954954954954,0.0864864864864864,0,0,0.0810810810811;0.0990990990991;0.0990990990991;0.108108108108;0.0900900900901,0.9047474747474747,0.9056603773584904,0.0009129026110156,True,pass,False,,0.0864864864864864,0.9047474747474747,0.9056603773584904,0.0009129026110156
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q70,True,5,555,65,61,0.1171171171171171,0.1099099099099099,0,0,0.117117117117;0.126126126126;0.108108108108;0.108108108108;0.126126126126,0.944139194139194,0.9384615384615383,0.0056776556776557,True,pass,False,,0.1099099099099099,0.944139194139194,0.9384615384615383,0.0056776556776557
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q80,True,5,555,54,52,0.0972972972972972,0.0936936936936936,0,0,0.117117117117;0.0900900900901;0.0990990990991;0.0900900900901;0.0900900900901,0.9674125874125874,0.962962962962963,0.0044496244496243,True,pass,False,,0.0936936936936936,0.9674125874125874,0.962962962962963,0.0044496244496243
reviewer_defended/analysis/all_results.csv,reviewer_defended,cifar10_robustbench,cifar10,robustbench,robustbench:cifar10:Linf:Wong2020Fast,linf_robust,robustbench:cifar10:Linf:Rice2020Overfitting,static_q90,True,5,555,38,38,0.0684684684684684,0.0684684684684684,0,0,0.0720720720721;0.0720720720721;0.0720720720721;0.0630630630631;0.0630630630631,1.0035714285714286,0.9999999999999998,0.0035714285714287,True,pass,False,,0.0684684684684684,1.0035714285714286,0.9999999999999998,0.0035714285714287
reviewer_imagenet/analysis/all_results.csv,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,deit_small_patch16_224.fb_in1k,static_q80,True,5,3920,1406,1342,0.3586734693877551,0.3423469387755101,0,0,0.353316326531;0.352040816327;0.350765306122;0.372448979592;0.364795918367,0.9547813884006476,0.9544807965860596,0.0003005918145879,True,pass,False,,0.3423469387755101,0.9547813884006476,0.9544807965860596,0.0003005918145879
reviewer_imagenet/analysis/all_results.csv,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,deit_tiny_patch16_224.fb_in1k,static_q80,True,5,3495,1251,1209,0.3579399141630901,0.3459227467811159,0,0,0.356223175966;0.361945636624;0.344778254649;0.384835479256;0.34191702432,0.9673447007285264,0.9664268585131895,0.0009178422153367,True,pass,False,,0.3459227467811159,0.9673447007285264,0.9664268585131895,0.0009178422153367
reviewer_imagenet/analysis/all_results.csv,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,swin_t,static_q80,True,5,3990,1083,1050,0.2714285714285714,0.2631578947368421,0,0,0.279448621554;0.265664160401;0.265664160401;0.281954887218;0.264411027569,0.9700899684868498,0.9695290858725762,0.0005608826142735,True,pass,False,,0.2631578947368421,0.9700899684868498,0.9695290858725762,0.0005608826142735
reviewer_imagenet/analysis/all_results.csv,reviewer_imagenet_1000,vit_b_16,imagenet1k_subset,transformer,vit_b_16,standard,swin_v2_t,static_q80,True,5,3960,1058,1020,0.2671717171717171,0.2575757575757576,0,0,0.258838383838;0.265151515152;0.265151515152;0.272727272727;0.27398989899,0.964175918640907,0.9640831758034027,9.274283750415611e-05,True,pass,False,,0.2575757575757576,0.964175918640907,0.9640831758034027,9.274283750415611e-05
